Experiment	bias spectroscopy	
Saved Date	31.03.2023 14:44:30	
User		
Date		
X (m)	-528.284E-9	
Y (m)	9.34745E-9	
Z (m)	9.33423E-9	
Z offset (m)	0E+0	
Settling time (s)	50E-3	
Integration time (s)	70E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	31.03.2023 14:43:17	
Filter type	None	
Order		
Cutoff frq		
Bias>Bias (V)	-3E+0	
Bias>Calibration (V/V)	-1E+0	
Bias>Offset (V)	0E+0	
Bias Spectroscopy>Sweep Start (V)	-3E+0	
Bias Spectroscopy>Sweep End (V)	3E+0	
Bias Spectroscopy>Num Pixel	600	
Bias Spectroscopy>Z Avg time (s)	100E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	100E-3	
Bias Spectroscopy>Settling time (s)	50E-3	
Bias Spectroscopy>Integration time (s)	70E-3	
Bias Spectroscopy>End Settling time (s)	50E-3	
Bias Spectroscopy>Z control time (s)	50E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);Input 4 dissipation PLL (V);Input 7 (V);Input 8 (V);Bias (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Z-Controller>Z (m)	9.33406E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	300E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	4E-12	
Z-Controller>I gain	22.2222E-9	
Z-Controller>Time const (s)	180E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	LI Demod R (V)	LI Demod X (V)	LI Demod Y (V)	Bias (V)
-2.13856E+0	-155.356E-12	211.800E-3	156.064E-3	-142.960E-3	-2.13856E+0
-2.12855E+0	-153.997E-12	215.059E-3	155.620E-3	-148.319E-3	-2.12855E+0
-2.11853E+0	-152.620E-12	228.422E-3	165.189E-3	-157.574E-3	-2.11853E+0
-2.10851E+0	-151.374E-12	218.004E-3	144.648E-3	-163.187E-3	-2.10851E+0
-2.09850E+0	-150.209E-12	220.279E-3	153.699E-3	-157.445E-3	-2.09850E+0
-2.08848E+0	-148.895E-12	217.661E-3	157.298E-3	-150.431E-3	-2.08848E+0
-2.07846E+0	-147.681E-12	215.154E-3	156.657E-3	-146.976E-3	-2.07846E+0
-2.06845E+0	-146.358E-12	213.765E-3	152.592E-3	-149.603E-3	-2.06845E+0
-2.05843E+0	-145.149E-12	223.783E-3	151.287E-3	-164.669E-3	-2.05843E+0
-2.04841E+0	-143.625E-12	208.945E-3	146.303E-3	-149.144E-3	-2.04841E+0
-2.03840E+0	-142.415E-12	217.137E-3	158.589E-3	-148.056E-3	-2.03840E+0
-2.02838E+0	-141.177E-12	215.536E-3	145.561E-3	-158.589E-3	-2.02838E+0
-2.01836E+0	-140.179E-12	206.706E-3	140.763E-3	-151.174E-3	-2.01836E+0
-2.00835E+0	-138.724E-12	209.227E-3	137.178E-3	-157.672E-3	-2.00835E+0
-1.99833E+0	-137.645E-12	215.090E-3	143.442E-3	-160.579E-3	-1.99833E+0
-1.98831E+0	-136.366E-12	215.264E-3	138.544E-3	-164.986E-3	-1.98831E+0
-1.97830E+0	-135.142E-12	200.689E-3	119.861E-3	-161.013E-3	-1.97830E+0
-1.96828E+0	-134.197E-12	200.588E-3	130.329E-3	-151.975E-3	-1.96828E+0
-1.95826E+0	-132.989E-12	195.737E-3	122.107E-3	-153.111E-3	-1.95826E+0
-1.94825E+0	-131.975E-12	201.569E-3	118.548E-3	-163.146E-3	-1.94825E+0
-1.93823E+0	-130.846E-12	200.889E-3	116.785E-3	-163.812E-3	-1.93823E+0
-1.92821E+0	-129.884E-12	201.366E-3	125.824E-3	-157.093E-3	-1.92821E+0
-1.91820E+0	-128.971E-12	196.290E-3	120.602E-3	-154.902E-3	-1.91820E+0
-1.90818E+0	-128.024E-12	191.676E-3	109.631E-3	-157.266E-3	-1.90818E+0
-1.89816E+0	-126.990E-12	184.832E-3	105.169E-3	-152.262E-3	-1.89816E+0
-1.88815E+0	-125.972E-12	194.399E-3	102.030E-3	-165.602E-3	-1.88815E+0
-1.87813E+0	-125.425E-12	198.121E-3	105.328E-3	-167.908E-3	-1.87813E+0
-1.86811E+0	-124.627E-12	202.911E-3	117.913E-3	-164.969E-3	-1.86811E+0
-1.85810E+0	-123.957E-12	191.724E-3	105.309E-3	-160.216E-3	-1.85810E+0
-1.84808E+0	-123.323E-12	180.868E-3	95.0284E-3	-154.129E-3	-1.84808E+0
-1.83806E+0	-121.982E-12	175.580E-3	88.2509E-3	-152.109E-3	-1.83806E+0
-1.82805E+0	-121.220E-12	185.908E-3	115.067E-3	-145.975E-3	-1.82805E+0
-1.81803E+0	-120.654E-12	182.839E-3	88.4687E-3	-160.207E-3	-1.81803E+0
-1.80801E+0	-119.742E-12	170.950E-3	80.7267E-3	-151.044E-3	-1.80801E+0
-1.79800E+0	-119.350E-12	168.559E-3	80.8863E-3	-148.352E-3	-1.79800E+0
-1.78798E+0	-118.804E-12	203.050E-3	102.941E-3	-174.781E-3	-1.78798E+0
-1.77796E+0	-117.629E-12	186.717E-3	85.4652E-3	-166.219E-3	-1.77796E+0
-1.76795E+0	-117.036E-12	188.848E-3	89.5101E-3	-166.373E-3	-1.76795E+0
-1.75793E+0	-116.619E-12	174.648E-3	81.5174E-3	-154.431E-3	-1.75793E+0
-1.74791E+0	-116.102E-12	174.219E-3	69.4968E-3	-159.316E-3	-1.74791E+0
-1.73790E+0	-115.480E-12	173.340E-3	63.7625E-3	-161.584E-3	-1.73790E+0
-1.72788E+0	-115.207E-12	163.927E-3	60.2579E-3	-152.462E-3	-1.72788E+0
-1.71786E+0	-114.305E-12	183.126E-3	63.7781E-3	-171.933E-3	-1.71786E+0
-1.70785E+0	-114.027E-12	171.501E-3	61.5080E-3	-160.513E-3	-1.70785E+0
-1.69783E+0	-113.535E-12	169.115E-3	38.1462E-3	-165.100E-3	-1.69783E+0
-1.68781E+0	-113.128E-12	163.936E-3	52.0556E-3	-155.734E-3	-1.68781E+0
-1.67780E+0	-112.857E-12	165.355E-3	49.7653E-3	-157.958E-3	-1.67780E+0
-1.66778E+0	-112.544E-12	165.382E-3	25.0978E-3	-163.702E-3	-1.66778E+0
-1.65776E+0	-112.196E-12	167.092E-3	45.8860E-3	-160.449E-3	-1.65776E+0
-1.64775E+0	-111.819E-12	160.846E-3	36.8276E-3	-156.901E-3	-1.64775E+0
-1.63773E+0	-111.769E-12	173.933E-3	33.7497E-3	-170.887E-3	-1.63773E+0
-1.62771E+0	-111.259E-12	166.075E-3	35.3606E-3	-162.535E-3	-1.62771E+0
-1.61770E+0	-110.777E-12	174.366E-3	36.4376E-3	-170.923E-3	-1.61770E+0
-1.60768E+0	-110.818E-12	160.014E-3	21.2891E-3	-158.914E-3	-1.60768E+0
-1.59766E+0	-110.887E-12	163.102E-3	34.4349E-3	-159.562E-3	-1.59766E+0
-1.58765E+0	-110.598E-12	164.783E-3	32.2555E-3	-161.934E-3	-1.58765E+0
-1.57763E+0	-110.531E-12	169.756E-3	18.2119E-3	-168.919E-3	-1.57763E+0
-1.56761E+0	-110.342E-12	147.687E-3	18.9402E-3	-146.507E-3	-1.56761E+0
-1.55760E+0	-110.134E-12	157.420E-3	29.2306E-3	-155.013E-3	-1.55760E+0
-1.54758E+0	-110.046E-12	166.535E-3	25.2695E-3	-164.860E-3	-1.54758E+0
-1.53756E+0	-109.601E-12	158.229E-3	40.4327E-3	-152.851E-3	-1.53756E+0
-1.52755E+0	-109.355E-12	169.318E-3	55.6183E-3	-160.157E-3	-1.52755E+0
-1.51753E+0	-109.053E-12	159.401E-3	41.7382E-3	-154.070E-3	-1.51753E+0
-1.50751E+0	-108.875E-12	169.060E-3	45.7834E-3	-163.058E-3	-1.50751E+0
-1.49750E+0	-108.571E-12	171.509E-3	44.4711E-3	-166.008E-3	-1.49750E+0
-1.48748E+0	-108.454E-12	173.076E-3	35.1894E-3	-169.402E-3	-1.48748E+0
-1.47746E+0	-107.971E-12	151.988E-3	50.4757E-3	-143.894E-3	-1.47746E+0
-1.46745E+0	-107.341E-12	172.267E-3	61.7743E-3	-160.516E-3	-1.46745E+0
-1.45743E+0	-107.391E-12	155.965E-3	41.8306E-3	-150.689E-3	-1.45743E+0
-1.44741E+0	-107.157E-12	160.153E-3	43.8203E-3	-154.008E-3	-1.44741E+0
-1.43740E+0	-106.621E-12	165.018E-3	34.8433E-3	-161.257E-3	-1.43740E+0
-1.42738E+0	-106.442E-12	175.522E-3	50.7094E-3	-168.334E-3	-1.42738E+0
-1.41736E+0	-105.978E-12	162.525E-3	46.5659E-3	-156.171E-3	-1.41736E+0
-1.40735E+0	-105.818E-12	168.337E-3	40.4210E-3	-163.839E-3	-1.40735E+0
-1.39733E+0	-105.082E-12	165.821E-3	40.9939E-3	-160.758E-3	-1.39733E+0
-1.38731E+0	-105.255E-12	170.601E-3	52.8129E-3	-162.356E-3	-1.38731E+0
-1.37730E+0	-104.972E-12	170.492E-3	41.4303E-3	-165.797E-3	-1.37730E+0
